
6-1	3.26 .02 3.26 .03
6-1	4.18 .03 4.09 .02
6-2	3.315 .015 3.318 .015
6-2	2.445 .015 2.4545 .0067
6-3	3.27 .015 3.2845 .0031
6-3	4.20 .03 4.1633 .0014
6-5	3.267 .065 3.131 .011
6-5	2.45 .25 2.334 .004
6-6	.2535 .0096 .24265 .0046
6-6	.408 .014 .37913 .00037
6-7	3.245 .015 3.278 .003
6-7	6.50 .02 6.561 .009
6-9	6.51 .02 6.56 .01
6-9	4.20 .03 4.135 .009
6-10	.506 .005 .486 .002
6-10	1.10 .01 1.066 .002
7-1	3.262 .011 3.286 .001
7-1	4.200 .026 4.136 .011
7-2	1.9348 .0094 1.9653 .0013
7-2	.3423 .01 .3265 .0012
7-3	3.17 .02 3.278 .0001
7-3	4.21 .04 4.1560 .002
7-6	4.210 .008 4.265 .01
7-6	1.576 .018 1.549 .022
7-7	4.18 .04 4.08 .005
7-7	1.72 .02 1.715 .009
7-9	4.22 .04 4.164 .002
7-9	3.254 .017 3.284 .001
7-10	1.720 .014 1.690 .017
7-10	4.208 .040 4.1238 .0043
