	theory		expt
4-2	1.611 .016 1.526 .003
4-2	1.766 .012 1.6963 .0024
4-3	.888 .009 .848 .0008
4-3	1.71 .01 1.647 .004
4-10	4.20 .03 3.950 .005
4-10	6.53 .02 6.238 .002
4-6	.849 .018 .81065 .00047
4-6	1.597 .016 1.537 .0009
4-7	1.91 .04 1.762 .003
4-7	3.01 .06 2.815 .003
4-5	.468 .009 .436 .001
4-5	3.33 .07 3.0063 .0025
4-9	3.258 .024 3.129 .014
4-9	.8779 .0089 .8449 .0024
5-1	3.267 .048 3.135 .003
5-1	4.200 .028 3.958 .003
5-2	.862 .018 .8051 .0007
5-2	1.738 .012 1.6678 .0036
5-5	1.80 .06 1.621 .003
5-5	2.48 .03 2.314 .004
5-6	4.20 .03 4.03 .01
5-6	3.21 .02 3.11 .003
5-7	3.28 .03 3.06 .01
5-7	4.17 .01 3.995 .014
5-9	1.710 .015 1.65 .0055
5-9	3.25 .015 3.1200 .0037
5-10	3.25 .01 3.116 .006
5-10	4.21 .03 3.936 .004



